127.0.0.1 - - [29/Dec/2025:11:42:55 +0100] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:43:17 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:47:50 +0100] "OPTIONS /soa_projet/users/add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:47:50 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:47:50 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:12 +0100] "OPTIONS /soa_projet/users/update/11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:12 +0100] "PUT /soa_projet/users/update/11 HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:21 +0100] "GET /soa_projet/users/id/6 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:23 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:25 +0100] "GET /soa_projet/users/nom/adem HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:29 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:30 +0100] "GET /soa_projet/users/nom/cher HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:31 +0100] "GET /soa_projet/users/nom/cherfi HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:34 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:41 +0100] "GET /soa_projet/users/nom/mbarek HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:44 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:49 +0100] "OPTIONS /soa_projet/users/delete/11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:48:49 +0100] "DELETE /soa_projet/users/delete/11 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:42 +0100] "GET /soa_projet/users/nom/mbarek HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:46 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:48 +0100] "GET /soa_projet/users/id/1 HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:50 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:52 +0100] "GET /soa_projet/users/nom/dzhehmkvz HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:54:55 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:55:05 +0100] "OPTIONS /soa_projet/users/update/6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:55:05 +0100] "PUT /soa_projet/users/update/6 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:55:22 +0100] "PUT /soa_projet/users/update/6 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:55:28 +0100] "OPTIONS /soa_projet/users/update/10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:11:55:28 +0100] "PUT /soa_projet/users/update/10 HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [29/Dec/2025:12:13:04 +0100] "POST /soa_projet/users/add HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [29/Dec/2025:12:13:04 +0100] "GET /soa_projet/users/all HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [29/Dec/2025:12:20:14 +0100] "OPTIONS /soa_projet/users/delete/12 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:12:20:14 +0100] "DELETE /soa_projet/users/delete/12 HTTP/1.1" 200 -
